gene_name	gene_discription	foldchange_T24/T0	foldchange_T48/T0
TcIL3000.A.H_000387100.1	Adenylate and Guanylate cyclase catalytic domain containing protein, putative	5	7
TcIL3000.A.H_000414500.1	Leucine Rich repeat, putative	5	4
TcIL3000.A.H_000852600.1	hypothetical protein, conserved	4.8	1.2
TcIL3000.A.H_000471500.1	hypothetical protein, conserved	4.75	3.25
TcIL3000.A.H_000109000.1	hypothetical protein, conserved	4.66667	2.33333
TcIL3000.A.H_000890200.1	glycerolphosphate mutase, putative	4.5	6.5
TcIL3000.A.H_000492700.1	hypothetical protein, conserved	4.5	6
TcIL3000.A.H_000243500.1	thymidylate kinase, putative	4.5	5.5
TcIL3000.A.H_000496400.1	protein kinase, putative	4.5	4.66667
TcIL3000.A.H_000834000.1	predicted ankyrin repeat family protein	4.5	3.5
TcIL3000.A.H_000983900.1	RNA-binding protein, putative	4.42857	2.28571
TcIL3000.A.H_000006700.1	expression site- associated gene (ESAG) protein, putative	4.33333	2.33333
TcIL3000.A.H_000819100.1	hypothetical protein, conserved	4.25	3.25
TcIL3000.A.H_000570700.1	hypothetical protein, conserved	4	8
TcIL3000.A.H_000918500.1	hypothetical protein, conserved	4	7
TcIL3000.A.H_000047300.1	PLAC8 family, putative	4	6.5
TcIL3000.A.H_000051500.1	retrotransposon hot spot (RHS) protein, putative	4	5
TcIL3000.A.H_000635500.1	hypothetical protein, conserved	4	5
TcIL3000.A.H_000824600.1	hypothetical protein, conserved	4	5
TcIL3000.A.H_000117000.1	retrotransposon hot spot (RHS) protein, putative	4	4.33333
TcIL3000.A.H_000370700.1	hypothetical protein	4	4.33333
TcIL3000.A.H_000997500.1	hypothetical protein, conserved	4	4.33333
TcIL3000.A.H_000073200.1	expression site-associated gene (ESAG) protein, putative	4	4
TcIL3000.A.H_000085700.1	retrotransposon hot spot (RHS) protein, putative	4	4
TcIL3000.A.H_000101400.1	expression site-associated gene 2 (ESAG2) protein, putative	4	4
TcIL3000.A.H_000480000.1	hypothetical protein, conserved	4	4
TcIL3000.A.H_000912500.1	Cell division protein kinase, putative	4	3.75
TcIL3000.A.H_000647200.1	hypothetical protein	4	3
TcIL3000.A.H_000775600.1	endonuclease V, putative	4	3
TcIL3000.A.H_000802500.1	Macrocin-O-methyltransferase (TylF), putative	4	3
TcIL3000.A.H_000964700:snoRNA	unspecified product	4	3
TcIL3000.A.H_001014200.1	YqaJ-like viral recombinase domain containing protein, putative	4	2.6
TcIL3000.A.H_000280100.1	conserved protein, unknown function	4	2.5
TcIL3000.A.H_000984300.1	hypothetical protein, conserved	4	2.25
TcIL3000.A.H_000220800.1	hypothetical protein, conserved	4	2
TcIL3000.A.H_000628600.1	cyclophilin, putative	4	2
TcIL3000.A.H_000892800.1	Histone methylation protein DOT1, putative	4	2
TcIL3000.A.H_000969100.1	hypothetical protein, conserved	4	1.5
TcIL3000.A.H_000141500.1	cysteine peptidase, Clan CA, family C2, putative	4	1
TcIL3000.A.H_000676500.1	meiotic recombination protein DMC1, putative	3.8	3.6
TcIL3000.A.H_000476800.1	hypothetical protein, conserved	3.8	3
TcIL3000.A.H_000848400.1	b9 domain-containing protein 1	3.75	3
TcIL3000.A.H_000449100.1	hypothetical protein, conserved	3.75	1.75
TcIL3000.A.H_000861300.1	Adenylate and Guanylate cyclase catalytic domain containing protein, putative	3.75	1
TcIL3000.A.H_000931600.1	hypothetical protein, conserved	3.66667	3.33333
TcIL3000.A.H_000396500.1	hypothetical protein	3.66667	2.33333
TcIL3000.A.H_000147700.1	Ankyrin repeats (3 copies), putative	3.66667	2
TcIL3000.A.H_000041600.1	hypothetical protein	3.66667	1.66667
TcIL3000.A.H_000777000.1	UDP-Gal or UDP-GlcNAc-dependent glycosyltransferase, putative	3.6	4
TcIL3000.A.H_000881200.1	hypothetical protein, conserved	3.5	7
TcIL3000.A.H_000591800.1	hypothetical protein, conserved	3.5	3.75
TcIL3000.A.H_000743500.1	Domain of unknown function (DUF4206), putative	3.5	3.75
TcIL3000.A.H_000144400.1	amino acid transporter 8, putative	3.5	3.25
TcIL3000.A.H_000254000.1	hypothetical protein, conserved	3.5	3
TcIL3000.A.H_000391200.1	hypothetical protein	3.5	2.5
TcIL3000.A.H_000198000.1	thymidine kinase, putative	3.5	2
TcIL3000.A.H_000570300.1	hypothetical protein, conserved	3.5	0.333333
TcIL3000.A.H_000937200.1	hypothetical protein, conserved	3.41667	3.16667
TcIL3000.A.H_000646000.1	ADP-ribosylation factor family, putative	3.4	3.8
TcIL3000.A.H_000350300.1	C-8 sterol isomerase, putative	3.4	2
TcIL3000.A.H_000631300.1	UDP-Gal or UDP-GlcNAc-dependent glycosyltransferase, putative	3.33333	4.33333
TcIL3000.A.H_000748400.1	hypothetical protein, conserved	3.33333	3.66667
TcIL3000.A.H_000376100.1	hypothetical protein, conserved	3.33333	3
TcIL3000.A.H_000387800.1	amino acid transporter, putative	3.33333	2.66667
TcIL3000.A.H_000011500.1	hypothetical protein	3.33333	0.333333
TcIL3000.A.H_000392100.1	Domain of unknown function (DUF4498), putative	3.25	3.75
TcIL3000.A.H_000196900.1	histone H2B, putative	3.25	3.25
TcIL3000.A.H_000749500.1	Thioredoxin, putative	3.25	3
TcIL3000.A.H_000761100.1	protein kinase, putative	3.25	2
TcIL3000.A.H_000775200.1	guanylate kinase, putative	3.22222	3.77778
TcIL3000.A.H_000539700.1	hypothetical protein, conserved	3.16667	2.16667
TcIL3000.A.H_000947900.1	Domain of unknown function (DUF4586), putative	3.125	4
TcIL3000.A.H_000539500.1	arginine N-methyltransferase, type III	3.11111	2.11111
TcIL3000.A.H_000258000.1	hypothetical protein	3	6
TcIL3000.A.H_000835100.1	Retrotransposon hot spot protein, putative	3	6
TcIL3000.A.H_000401500.1	Trypanosomal VSG domain containing protein, putative	3	5.5
TcIL3000.A.H_000388500.1	amino acid transporter AATP5	3	5
TcIL3000.A.H_000525700.1	ribosomal protein L21, putative	3	5
TcIL3000.A.H_000468900.1	ferric reductase transmembrane protein, putative	3	4.66667
TcIL3000.A.H_000216200.1	Protein Associated with Differentiation, putative	3	4
TcIL3000.A.H_000928800.1	serine/threonine protein kinase, putative	3	4
TcIL3000.A.H_000824100.1	beta-D-hydroxybutyrate dehydrogenase	3	3.75
TcIL3000.A.H_000262100.1	Elongation factor Tu GTP binding domain containing protein, putative	3	3.66667
TcIL3000.A.H_000204400.1	hypothetical protein, conserved	3	3.5
TcIL3000.A.H_000148400.1	Adenylate and Guanylate cyclase catalytic domain containing protein, putative	3	3
TcIL3000.A.H_000220100.1	Tubulin-tyrosine ligase family, putative	3	3
TcIL3000.A.H_000419800.1	Protein of unknown function (DUF2453), putative	3	2.85714
TcIL3000.A.H_000599100.1	MORN repeat, putative	3	2.75
TcIL3000.A.H_000935400.1	Protein of unknown function (DUF423), putative	3	2.6
TcIL3000.A.H_000557500.1	CHORD, putative	3	2.5
TcIL3000.A.H_000333800.1	hypothetical protein	3	2.33333
TcIL3000.A.H_001015700.1	hypothetical protein	3	2.2
TcIL3000.A.H_000006200.1	hypothetical protein, conserved	3	2
TcIL3000.A.H_000357600.1	dynein heavy chain, putative	3	2
TcIL3000.A.H_000558800.1	hypothetical protein, conserved	3	2
TcIL3000.A.H_000744500.1	hypothetical protein	3	2
TcIL3000.A.H_000775900.1	hypothetical protein, conserved	3	2
TcIL3000.A.H_000950400.1	Galactose oxidase, central domain containing protein, putative	3	2
TcIL3000.A.H_000600200.1	Dos2-interacting transcription regulator of RNA-Pol-II, putative	3	1.7
TcIL3000.A.H_000872700.1	hypothetical protein	3	1.5
TcIL3000.A.H_000966300:snoRNA	unspecified product	3	1.5
TcIL3000.A.H_000954500.1	Snf7, putative	3	1.375
TcIL3000.A.H_000359500.1	hypothetical protein	3	1
TcIL3000.A.H_000637500.1	Adenylate and Guanylate cyclase catalytic domain containing protein, putative	3	1
TcIL3000.A.H_000444100.1	hypothetical protein, conserved	3	0
TcIL3000.A.H_000860700.1	hypothetical protein, conserved	3	0
TcIL3000.A.H_000965300:snoRNA	unspecified product	3	0
TcIL3000.A.H_000338400.1	hypothetical protein, conserved	2.92857	2.64286
TcIL3000.A.H_000148800.1	hypothetical protein, conserved	2.875	2.75
TcIL3000.A.H_000763900.1	protein phosphatase 2C, putative	2.85714	2.28571
TcIL3000.A.H_000933600.1	NADH-ubiquinone oxidoreductase complex I, 21 kDa subunit, putative	2.84615	2.23077
TcIL3000.A.H_000882800.1	hypothetical protein, conserved	2.83333	3.83333
TcIL3000.A.H_000348000.1	pre-RNA processing PIH1/Nop17, putative	2.83333	3.66667
TcIL3000.A.H_000500800.1	non-canonical poly (A) polymerase	2.83333	3.33333
TcIL3000.A.H_000349000.1	hypothetical protein, conserved	2.8	2.4
TcIL3000.A.H_000279500.1	kinesin heavy chain, putative	2.8	1.8
TcIL3000.A.H_000656500.1	tricarboxylate carrier, putative	2.8	1.4
TcIL3000.A.H_000652300.1	Glycosyl transferase family 11, putative	2.8	1.2
TcIL3000.A.H_000389900.1	hypothetical protein, conserved	2.75	4.5
TcIL3000.A.H_000035900.1	potassium voltage-gated channel, putative	2.75	4.25
TcIL3000.A.H_000454900.1	Alpha/beta hydrolase family, putative	2.71429	5.85714
TcIL3000.A.H_000062900.1	Triglyceride lipase, putative	2.66667	5
TcIL3000.A.H_000225400.1	hypothetical protein, conserved	2.66667	5
TcIL3000.A.H_000287400.1	hypothetical protein, conserved	2.66667	4.66667
TcIL3000.A.H_000505100.1	protein kinase, putative	2.66667	4.66667
TcIL3000.A.H_000452400.1	leucine-rich repeat protein (LRRP), putative	2.66667	3.83333
TcIL3000.A.H_000825800.1	F-box-like, putative	2.66667	3.5
TcIL3000.A.H_000603900.1	hypothetical protein, conserved	2.66667	3.16667
TcIL3000.A.H_000179600.1	hypothetical protein, conserved	2.66667	3
TcIL3000.A.H_000643000.1	hypothetical protein, conserved	2.66667	3
TcIL3000.A.H_000512000.1	ubiquitin-conjugating enzyme E2, putative	2.66667	2.5
TcIL3000.A.H_000607200.1	amino acid transporter, putative	2.66667	2.33333
TcIL3000.A.H_000935600.1	hypothetical protein, conserved	2.66667	2.22222
TcIL3000.A.H_000628200.1	High-temperature-induced dauer-formation protein, putative	2.66667	2
TcIL3000.A.H_000851900.1	Hydroxyneurosporene synthase (CrtC)/Polyprenyl synthetase, putative	2.66667	2
TcIL3000.A.H_000143100.1	retrotransposon hot spot (RHS) protein, putative	2.66667	1.66667
TcIL3000.A.H_000840400.1	paralyzed flagella protein 20	2.66667	1.66667
TcIL3000.A.H_000963700:snoRNA	unspecified product	2.66667	1.33333
TcIL3000.A.H_000371000.1	hypothetical protein, conserved	2.66667	0.666667
TcIL3000.A.H_000473000.1	chaperone protein DNAj, putative	2.6	4
TcIL3000.A.H_000165500.1	Hsp90 protein, putative	2.6	2.2
TcIL3000.A.H_001004900.1	hypothetical protein, conserved	2.57143	3.42857
TcIL3000.A.H_000369900.1	protein phosphatase 2C, putative	2.57143	2.42857
TcIL3000.A.H_000336900.1	Adenylate and Guanylate cyclase catalytic domain containing protein, putative	2.55556	2.33333
TcIL3000.A.H_000302000.1	hypothetical protein, conserved	2.55556	1.88889
TcIL3000.A.H_000557100.1	cell division cycle protein, putative	2.54545	2.81818
TcIL3000.A.H_000670800.1	hypothetical protein, conserved	2.5	9.5
TcIL3000.A.H_000897600.1	hypothetical protein, conserved	2.5	6
TcIL3000.A.H_000070600.1	retrotransposon hot spot (RHS) protein, putative	2.5	5
TcIL3000.A.H_000971000.1	32 kDa ER-associated protein	2.5	4.75
TcIL3000.A.H_000102500.1	hypothetical protein, conserved	2.5	4.5
TcIL3000.A.H_000315400.1	hypothetical protein, conserved	2.5	4
TcIL3000.A.H_000817700.1	hypothetical protein, conserved	2.5	4
TcIL3000.A.H_000330900.1	hypothetical protein, conserved	2.5	3.5
TcIL3000.A.H_000400200.1	hypothetical protein, conserved	2.5	3.5
TcIL3000.A.H_000439200.1	hypothetical protein, conserved	2.5	3.5
TcIL3000.A.H_000648100.1	hypothetical protein, conserved	2.5	2.625
TcIL3000.A.H_000040600.1	Invariant surface glycoprotein, putative	2.5	2.5
TcIL3000.A.H_000698600.1	poly(ADP-ribose) glycohydrolase, putative	2.5	2.375
TcIL3000.A.H_000319100.1	hypothetical protein, conserved	2.5	2.25
TcIL3000.A.H_000870400.1	RNA-binding protein, putative	2.5	2.25
TcIL3000.A.H_000570400.1	hypothetical protein, conserved	2.5	2
TcIL3000.A.H_000575800.1	hypothetical protein	2.5	2
TcIL3000.A.H_000963400:snoRNA	unspecified product	2.5	2
TcIL3000.A.H_000964600:snoRNA	unspecified product	2.5	2
TcIL3000.A.H_000013100.1	hypothetical protein, conserved	2.5	1.5
TcIL3000.A.H_000091800.1	Papain family cysteine protease, putative	2.5	1.5
TcIL3000.A.H_000243600.1	microtubule-associated protein 2	2.5	1.5
TcIL3000.A.H_000404400.1	hypothetical protein	2.5	1.5
TcIL3000.A.H_000679600.1	ADP-ribosylation factor-like protein, putative	2.5	1.5
TcIL3000.A.H_000889800.1	kinesin, putative	2.5	1.5
TcIL3000.A.H_000634900.1	hypothetical protein, conserved	2.5	1
TcIL3000.A.H_000902600.1	hypothetical protein, conserved	2.5	1
TcIL3000.A.H_000915800.1	Mnd1 family, putative	2.5	1
TcIL3000.A.H_000031700.1	Trypanosomal VSG domain containing protein, putative	2.5	0.5
TcIL3000.A.H_000384100.1	protein phoshatase 1, putative	2.44444	0.555556
TcIL3000.A.H_000585700.1	spliceosomal U5 snRNP-specific protein, putative	2.42857	2.42857
TcIL3000.A.H_000540700.1	SET domain containing protein, putative	2.42857	1.85714
TcIL3000.A.H_000997800.1	protein phosphatase with EF-Hand domains (PPEF)	2.41667	2.66667
TcIL3000.A.H_000458200.1	hypothetical protein, conserved	2.4	2.4
TcIL3000.A.H_000279700.1	serine/threonine protein phosphatase 2A regulatory subunit, putative	2.4	1.8
TcIL3000.A.H_000046700.1	phosphatidylglycerolphosphate synthase, mitochondrial	2.4	1.6
TcIL3000.A.H_000244600.1	hypothetical protein, conserved	2.4	1.4
TcIL3000.A.H_000806100.1	Protein of unknown function (DUF2870), putative	2.375	5.5
TcIL3000.A.H_000376200.1	Protein of unknown function (DUF3808), putative	2.375	0.75
TcIL3000.A.H_000789700.1	hypothetical protein, conserved	2.36364	2.36364
TcIL3000.A.H_001002700.1	hypothetical protein, conserved	2.36364	1.27273
TcIL3000.A.H_000312400.1	hypothetical protein, conserved	2.33333	5.16667
TcIL3000.A.H_000748900.1	hypothetical protein, conserved	2.33333	4
TcIL3000.A.H_000887800.1	Nucleoporin	2.33333	3.66667
TcIL3000.A.H_000628100.1	mismatch repair protein MLH1	2.33333	3.5
TcIL3000.A.H_000016400.1	hypothetical protein, conserved	2.33333	3.33333
TcIL3000.A.H_000237800.1	thiosulfate sulfurtransferase, mitochondrial, putative	2.33333	3
TcIL3000.A.H_000341700.1	hypothetical protein, conserved	2.33333	2.83333
TcIL3000.A.H_000396100.1	amino acid transporter, putative	2.33333	2.5
TcIL3000.A.H_000470700.1	phospholipid-translocating P-type ATPase (flippase), putative	2.33333	2.33333
TcIL3000.A.H_000625600.1	Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial	2.33333	2.33333
TcIL3000.A.H_000708000.1	hypothetical protein, conserved	2.33333	1.83333
TcIL3000.A.H_000388400.1	amino acid transporter AATP5	2.33333	1.55556
TcIL3000.A.H_000728900.1	protein kinase, putative	2.33333	1.33333
TcIL3000.A.H_000890100.1	phosphoglycerate mutase, putative	2.33333	1.22222
TcIL3000.A.H_000011200.1	hypothetical protein, conserved	2.33333	0.666667
TcIL3000.A.H_000173600.1	amino acid transporter AATP5	2.3	3.6
TcIL3000.A.H_000805400.1	Predicted membrane protein, putative	2.3	2.6
TcIL3000.A.H_001035600.1	hypothetical protein, conserved	2.3	1.4
TcIL3000.A.H_000988700.1	Glucosidase II beta subunit-like, putative	2.28571	3.28571
TcIL3000.A.H_000627500.1	START domain containing protein, putative	2.28571	2.85714
TcIL3000.A.H_000769300.1	Sec34-like family, putative	2.27273	3.72727
TcIL3000.A.H_000939600.1	hypothetical protein, conserved	2.27273	2.54545
TcIL3000.A.H_000300100.1	hypothetical protein, conserved	2.27273	1.54545
TcIL3000.A.H_000044400.1	hypothetical protein, conserved	2.25	3.75
TcIL3000.A.H_000380100.1	Lipase (class 3), putative	2.25	3
TcIL3000.A.H_000675000.1	hypothetical protein, conserved	2.25	3
TcIL3000.A.H_000360000.1	Calcineurin-like phosphoesterase, putative	2.25	2.75
TcIL3000.A.H_000374600.1	hypothetical protein, conserved	2.25	2.75
TcIL3000.A.H_000471200.1	ATP-dependent DEAD/H DNA helicase recQ, putative	2.25	2.625
TcIL3000.A.H_001021600.1	hypothetical protein, conserved	2.25	2.33333
TcIL3000.A.H_000469600.1	hypothetical protein, conserved	2.25	2
TcIL3000.A.H_000888700.1	hypothetical protein	2.25	1.75
TcIL3000.A.H_000934900.1	hypothetical protein, conserved	2.25	1.16667
TcIL3000.A.H_000769700.1	hypothetical protein, conserved	2.22222	3.77778
TcIL3000.A.H_000610600.1	amidase, putative	2.22222	3.11111
TcIL3000.A.H_000378400.1	hypothetical protein, conserved	2.2	3.8
TcIL3000.A.H_000303200.1	hypothetical protein, conserved	2.2	2.8
TcIL3000.A.H_000414200.1	conserved protein	2.2	2.8
TcIL3000.A.H_000981000.1	DNA repair and recombination helicase protein PIF3	2.2	2.7
TcIL3000.A.H_000337300.1	Adenylate and Guanylate cyclase catalytic domain containing protein, putative	2.2	1.6
TcIL3000.A.H_000588300.1	EF-hand domain pair/EF-hand domain/EF hand, putative	2.2	1.3
TcIL3000.A.H_000485200.1	hypothetical protein, conserved	2.19355	1.48387
TcIL3000.A.H_000594800.1	Ran-binding protein, putative	2.16667	3.83333
TcIL3000.A.H_000507000.1	hypothetical protein, conserved	2.16667	2.66667
TcIL3000.A.H_000298200.1	Domain of unknown function (DUF4520), putative	2.16667	2.5
TcIL3000.A.H_000404500.1	exosome component CSL4	2.16667	2.5
TcIL3000.A.H_000756200.1	GPI inositol deacylase precursor	2.16667	2.33333
TcIL3000.A.H_000073100.1	Adenylate and Guanylate cyclase catalytic domain containing protein, putative	2.16667	2.25
TcIL3000.A.H_000411300.1	hypothetical protein, conserved	2.16667	1.94444
TcIL3000.A.H_000020200.1	hypothetical protein, conserved	2.16667	1.83333
TcIL3000.A.H_000499100.1	sphingosine kinase A, B, putative	2.16667	1
TcIL3000.A.H_000608100.1	U1 small nuclear ribonucleoprotein, putative	2.16667	0.833333
TcIL3000.A.H_000300200.1	protein kinase, putative	2.14286	2.85714
TcIL3000.A.H_000743600.1	DnaJ domain/Transmembrane Fragile-X-F protein, putative	2.14286	1.28571
TcIL3000.A.H_000975400.1	hypothetical protein, conserved	2.125	1.75
TcIL3000.A.H_000147300.1	Ankyrin repeats (3 copies), putative	2.125	1
TcIL3000.A.H_000505800.1	hypothetical protein, conserved	2.125	0.75
TcIL3000.A.H_000454500.1	KU80 protein	2.11765	1.29412
TcIL3000.A.H_000326700.1	palmitoyl acyltransferase 10, putative	2.11111	1.77778
TcIL3000.A.H_000657700.1	hypothetical protein	2.11111	1.77778
TcIL3000.A.H_000355200.1	hypothetical protein, conserved	2.11111	1.61111
TcIL3000.A.H_000861200.1	retrotransposon hot spot (RHS) protein, putative	2.1	3.5
TcIL3000.A.H_000682000.1	Small nuclear RNA gene activation protein (SNAP) 50	2.1	1.1
TcIL3000.A.H_000303500.1	dolichyl-P-Man:GDP-Man7GlcNAc2-PP-dolichyl alpha-1,6-mannosyltransferase, putative	2.1	0.8
TcIL3000.A.H_000758700.1	chaperone protein DNAj, putative	2.09091	2.27273
TcIL3000.A.H_000623500.1	short-chain dehydrogenase, putative	2.09091	1.90909
TcIL3000.A.H_000600300.1	Gryzun, putative trafficking through Golgi, putative	2.09091	1.27273
TcIL3000.A.H_000631700.1	hypothetical protein, conserved	2.08333	2.16667
TcIL3000.A.H_000737100.1	mitochondrial malate dehydrogenase	2.07143	2.35714
TcIL3000.A.H_000720400.1	katanin, putative	2.06667	1.8
TcIL3000.A.H_001010700.1	mitochondrial carrier protein	2.0625	4.4375
TcIL3000.A.H_000894700.1	phospholipid-transporting ATPase 1-like protein, putative	2.0625	2.5
TcIL3000.A.H_000041200.1	ABC transporter, putative	2.05556	2.05556
TcIL3000.A.H_000868800.1	SCAMP family, putative	2.05263	1.94737
TcIL3000.A.H_000305300.1	EMG1/NEP1 methyltransferase, putative	2	11
TcIL3000.A.H_000682100.1	kinetoplastid-specific dual specificity phosphatase, putative	2	11
TcIL3000.A.H_000961600:snoRNA	unspecified product	2	10
TcIL3000.A.H_001001600.1	PPPDE putative peptidase domain containing protein, putative	2	10
TcIL3000.A.H_001003300.1	rhodanese-like domain containing protein, putative	2	9
TcIL3000.A.H_000772200.1	hypothetical protein	2	8
TcIL3000.A.H_000145300.1	Adenylate and Guanylate cyclase catalytic domain containing protein, putative	2	7
TcIL3000.A.H_000607300.1	amino acid transporter, putative	2	7
TcIL3000.A.H_000490600.1	Glutaredoxin, putative	2	6.5
TcIL3000.A.H_001012000.1	RNA polymerase subunit, putative	2	6.33333
TcIL3000.A.H_000397000.1	amino acid transporter 8, putative	2	6
TcIL3000.A.H_000569600.1	vacuolar-type Ca2+-ATPase, putative	2	6
TcIL3000.A.H_000635900.1	tRNA-dihydrouridine synthase 1, putative	2	6
TcIL3000.A.H_001016000.1	protein phosphatase 2C, putative	2	5.66667
TcIL3000.A.H_000049100.1	hypothetical protein, conserved	2	5.5
TcIL3000.A.H_000932600.1	pantothenate kinase subunit, putative	2	5.5
TcIL3000.A.H_000146700.1	protein kinase, putative	2	5
TcIL3000.A.H_000217800.1	variant surface glycoprotein (VSG, atypical), putative	2	5
TcIL3000.A.H_000370300.1	hypothetical protein, conserved	2	5
TcIL3000.A.H_000768800.1	hypothetical protein, conserved	2	5
TcIL3000.A.H_000475000.1	Triose-phosphate Transporter family, putative	2	4.5
TcIL3000.A.H_000402000.1	hypothetical protein, conserved	2	4.25
TcIL3000.A.H_001031600.1	CMP-sialic acid transporter, putative	2	4.25
TcIL3000.A.H_000329800.1	brix domain containing protein, putative	2	4.2
TcIL3000.A.H_000061100.1	hypothetical protein, conserved	2	4
TcIL3000.A.H_000071900.1	hypothetical protein, conserved	2	4
TcIL3000.A.H_000301000.1	kinetoplastid-specific dual specificity phosphatase, putative	2	4
TcIL3000.A.H_000375400.1	hypothetical protein, conserved	2	4
TcIL3000.A.H_000400600.1	hypothetical protein	2	4
TcIL3000.A.H_000625700.1	Outer mitochondrial membrane transport complex protein/Glutathione S-transferase, C-terminal domain containing protein, putative	2	4
TcIL3000.A.H_000647000.1	hypothetical protein, conserved	2	4
TcIL3000.A.H_000750000.1	3-keto-dihydrosphingosine reductase	2	4
TcIL3000.A.H_000844200.1	RNA-binding protein 27, putative	2	4
TcIL3000.A.H_000893100.1	hypothetical protein, conserved	2	4
TcIL3000.A.H_000627800.1	protein kinase, putative	2	3.5
TcIL3000.A.H_001000300.1	hypothetical protein, conserved	2	3.4
TcIL3000.A.H_000375600.1	Zeta toxin, putative	2	3.3
TcIL3000.A.H_000842200.1	hypothetical protein, conserved	2	3.28571
TcIL3000.A.H_000163800.1	PIN domain containing protein, putative	2	3.2
TcIL3000.A.H_000018300.1	hypothetical protein, conserved	2	3
TcIL3000.A.H_000101100.1	hypothetical protein, conserved	2	3
TcIL3000.A.H_000185200.1	retrotransposon hot spot (RHS) protein, putative	2	3
TcIL3000.A.H_000241800.1	Met-10+ like-protein/Methyltransferase small domain/Ribosomal protein L11 methyltransferase (PrmA)/Putative RNA methylase family UPF0020/Conserved hypothetical protein 95/Methyltransferase domain/RNA cap guanine-N2 methyltransferase, putative	2	3
TcIL3000.A.H_000479400.1	homoserine kinase, putative	2	3
TcIL3000.A.H_000675300.1	PSP1 C-terminal conserved region, putative	2	3
TcIL3000.A.H_000966400.1	Serine/threonine-protein phosphatase PGAM5, mitochondrial, putative	2	3
TcIL3000.A.H_000298100.1	hypothetical protein, conserved	2	2.83333
TcIL3000.A.H_000620600.1	3-hydroxy-3-methylglutaryl-CoA synthase, putative	2	2.72727
TcIL3000.A.H_000990700.1	hypothetical protein, conserved	2	2.66667
TcIL3000.A.H_000605400.1	hypothetical protein, conserved	2	2.625
TcIL3000.A.H_000944800.1	target SNARE, putative	2	2.61538
TcIL3000.A.H_000267000.1	hypothetical protein, conserved	2	2.57143
TcIL3000.A.H_000232900.1	retrotransposon hot spot (RHS) protein, putative	2	2.5
TcIL3000.A.H_000922500.1	hypothetical protein, conserved	2	2.5
TcIL3000.A.H_000569000.1	hypothetical protein, conserved	2	2.45455
TcIL3000.A.H_000298400.1	MRB1-associated protein	2	2.41667
TcIL3000.A.H_000478400.1	Leucine Rich repeat/Leucine rich repeat/Leucine Rich Repeat, putative	2	2.4
TcIL3000.A.H_000543400.1	ATG8/AUT7/APG8/PAZ2, putative	2	2.375
TcIL3000.A.H_000741400.1	hypothetical protein, conserved	2	2.375
TcIL3000.A.H_001000600.1	hypothetical protein, conserved	2	2.375
TcIL3000.A.H_000650500.1	hypothetical protein, conserved	2	2.33333
TcIL3000.A.H_000630900.1	squalene synthase, putative	2	2.2
TcIL3000.A.H_000249900.1	Autophagy-related protein 27, putative	2	2.14286
TcIL3000.A.H_000011800.1	hypothetical protein, conserved	2	2
TcIL3000.A.H_000051300.1	hypothetical protein, conserved	2	2
TcIL3000.A.H_000131900.1	hypothetical protein, conserved	2	2
TcIL3000.A.H_000156200.1	hypothetical protein, conserved	2	2
